price,area,price_per_m2,location,bedroom,bathroom
105 tỷ,154 m²,"681,82 tr/m²","Hà Đông, Hà Nội",7,6
"3,8 tỷ",76 m²,50 tr/m²,"Quận 7, Hồ Chí Minh",2,2
"5,45 tỷ","106,7 m²","51,08 tr/m²","Cẩm Lệ, Đà Nẵng",4,3
74 tỷ,"327,5 m²","225,95 tr/m²","Thủ Đức, Hồ Chí Minh",,
Giá thỏa thuận,131 m²,,"Quận 2, Hồ Chí Minh",3,
"6,48 tỷ","114,64 m²","56,5 tr/m²","Mê Linh, Hà Nội",,
"2,1 tỷ",66 m²,"31,82 tr/m²","Thuận An, Bình Dương",2,2
"9,9 tỷ",46 m²,"215,22 tr/m²","Thanh Xuân, Hà Nội",4,5
Giá thỏa thuận,110 m²,,"Cầu Giấy, Hà Nội",,
"13,58 tỷ",58 m²,"234,14 tr/m²","Cầu Giấy, Hà Nội",14,14
66 tỷ,160 m²,"412,5 tr/m²","Cầu Giấy, Hà Nội",6,4
"12,5 tỷ",43 m²,"290,7 tr/m²","Quận 5, Hồ Chí Minh",4,
"3,57 tỷ",85 m²,42 tr/m²,"Quận 2, Hồ Chí Minh",2,2
"2,6 tỷ",65 m²,40 tr/m²,"Nhơn Trạch, Đồng Nai",2,2
"15,4 tỷ",84 m²,"183,33 tr/m²","Văn Giang, Hưng Yên",5,5
78 tỷ,128 m²,"609,38 tr/m²","Tây Hồ, Hà Nội",11,11
"5,5 tỷ",95 m²,"57,9 tr/m²","Hoàng Mai, Hà Nội",3,2
"3,1 tỷ","46,8 m²","66,24 tr/m²","Nam Từ Liêm, Hà Nội",1,1
"6,39 tỷ",40 m²,"159,75 tr/m²","Bắc Từ Liêm, Hà Nội",4,3
Giá thỏa thuận,63 m²,,"Liên Chiểu, Đà Nẵng",2,2
20 tỷ,127 m²,"157,48 tr/m²","Quận 2, Hồ Chí Minh",3,3
"1,81 tỷ",49 m²,37 tr/m²,"Thuận An, Bình Dương",,
"3,6 tỷ","69,4 m²","51,87 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"2,2 tỷ","46,54 m²","47,27 tr/m²","Nhà Bè, Hồ Chí Minh",1,1
20 tỷ,167 m²,"119,76 tr/m²","Quận 2, Hồ Chí Minh",4,4
"9,1 tỷ",107 m²,"85,05 tr/m²","Quận 2, Hồ Chí Minh",3,3
"1,2 tỷ",28 m²,"42,86 tr/m²","Nam Từ Liêm, Hà Nội",1,1
20 tỷ,100 m²,200 tr/m²,"Quận 9, Hồ Chí Minh",4,5
"11,98 tỷ",91 m²,"131,65 tr/m²","Quận 9, Hồ Chí Minh",4,4
"9,3 tỷ",107 m²,"86,92 tr/m²","Quận 10, Hồ Chí Minh",2,2
"13,8 tỷ",3.700 m²,"3,73 tr/m²","Nhơn Trạch, Đồng Nai",,
"3,2 tỷ",91 m²,"35,16 tr/m²","Tân Phú, Hồ Chí Minh",3,2
"21,08 tỷ",136 m²,155 tr/m²,"Quận 2, Hồ Chí Minh",,
"6,86 tỷ",62 m²,"110,58 tr/m²","Quận 12, Hồ Chí Minh",4,5
Giá thỏa thuận,57 m²,,"Thuận Thành, Bắc Ninh",,
"23,8 tỷ",44 m²,"540,91 tr/m²","Đống Đa, Hà Nội",5,5
"3,2 tỷ",65 m²,"49,23 tr/m²","Nhơn Trạch, Đồng Nai",2,2
"3,6 tỷ",76 m²,"47,37 tr/m²","Bình Chánh, Hồ Chí Minh",3,2
25 tỷ,155 m²,"161,29 tr/m²","Hoài Đức, Hà Nội",,
"22,4 tỷ",160 m²,140 tr/m²,"Văn Giang, Hưng Yên",3,3
"19,7 tỷ",75 m²,"262,67 tr/m²","Đông Anh, Hà Nội",,
14 tỷ,93 m²,"150,54 tr/m²","Tây Hồ, Hà Nội",2,
"1,45 tỷ",100 m²,"14,5 tr/m²","Củ Chi, Hồ Chí Minh",,
Giá thỏa thuận,45 m²,,"Tây Hồ, Hà Nội",1,1
Giá thỏa thuận,300 m²,,"Mê Linh, Hà Nội",,
"2,8 tỷ",65 m²,"43,08 tr/m²","Tân Phú, Hồ Chí Minh",2,2
"3,25 tỷ",61 m²,"53,28 tr/m²","Bình Chánh, Hồ Chí Minh",2,1
47 tỷ,137 m²,"343,07 tr/m²","Quận 2, Hồ Chí Minh",3,2
"2,53 tỷ",61 m²,"41,48 tr/m²","Thủ Dầu Một, Bình Dương",1,1
"4,4 tỷ",88 m²,50 tr/m²,"Quận 12, Hồ Chí Minh",3,3
"3,9 tỷ",54 m²,"72,22 tr/m²","Hà Đông, Hà Nội",2,1
22 tỷ,146 m²,"150,68 tr/m²","Ba Đình, Hà Nội",4,3
13 tỷ,100 m²,130 tr/m²,"Tây Hồ, Hà Nội",,
"2,2 tỷ","46,54 m²","47,27 tr/m²","Nhà Bè, Hồ Chí Minh",2,1
10 tỷ,114 m²,"87,72 tr/m²","Thủ Dầu Một, Bình Dương",,
"7,5 tỷ",89 m²,"84,27 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"54,7 tỷ",140 m²,"390,71 tr/m²","Tây Hồ, Hà Nội",5,4
"4,9 tỷ",254 m²,"19,29 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",,
"5,56 tỷ","87,5 m²","63,5 tr/m²","Đông Anh, Hà Nội",,
"8,15 tỷ",250 m²,"32,6 tr/m²","Liên Chiểu, Đà Nẵng",,
"1,87 tỷ",28 m²,"66,79 tr/m²","Gia Lâm, Hà Nội",1,1
"2,5 tỷ",80 m²,"31,25 tr/m²","Tuy Phước, Bình Định",,
"7,6 tỷ",120 m²,"63,33 tr/m²","Từ Sơn, Bắc Ninh",,
"4,05 tỷ",54 m²,75 tr/m²,"Hà Đông, Hà Nội",2,1
6 tỷ,121 m²,"49,59 tr/m²","Tây Hồ, Hà Nội",3,2
"8,8 tỷ","135,6 m²","64,9 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"1,1 tỷ",100 m²,11 tr/m²,"Giao Thủy, Nam Định",,
"6,4 tỷ","32,8 m²","195,09 tr/m²","Phú Nhuận, Hồ Chí Minh",2,3
Giá thỏa thuận,8.755 m²,,"Thủ Đức, Hồ Chí Minh",,
"18,77 tỷ",80 m²,"234,64 tr/m²","Đông Anh, Hà Nội",5,5
"7,6 tỷ",74 m²,"102,7 tr/m²","Quận 2, Hồ Chí Minh",2,
39 tỷ,108 m²,"361,11 tr/m²","Hoàng Mai, Hà Nội",5,6
"11,2 tỷ",93 m²,"120,43 tr/m²","Quận 2, Hồ Chí Minh",2,2
"3,35 tỷ",70 m²,"47,86 tr/m²","Bình Chánh, Hồ Chí Minh",2,2
"2,34 tỷ",51 m²,"45,88 tr/m²","Quận 9, Hồ Chí Minh",1,1
"3,75 tỷ",27 m²,"138,89 tr/m²","Đống Đa, Hà Nội",1,1
"3,99 tỷ",30 m²,133 tr/m²,"Long Biên, Hà Nội",,
"1,5 tỷ",186 m²,"8,06 tr/m²","Tiên Lãng, Hải Phòng",,
"1,07 tỷ",58 m²,"18,5 tr/m²","An Dương, Hải Phòng",2,1
"1,5 tỷ",40 m²,"37,5 tr/m²","Thanh Hóa, Thanh Hóa",1,1
"7,9 tỷ",120 m²,"65,83 tr/m²","Cam Ranh, Khánh Hòa",3,4
"2,5 tỷ","73,2 m²","34,15 tr/m²","Lê Chân, Hải Phòng",2,2
13 tỷ,130 m²,100 tr/m²,"Cầu Giấy, Hà Nội",2,2
"15,5 tỷ",70 m²,"221,43 tr/m²","Tân Bình, Hồ Chí Minh",3,
"8,1 tỷ",40 m²,"202,5 tr/m²","Phú Nhuận, Hồ Chí Minh",3,4
35 tỷ,"179,78 m²","194,68 tr/m²","Quận 2, Hồ Chí Minh",4,3
"6,5 tỷ",39 m²,"166,67 tr/m²","Hoàng Mai, Hà Nội",,5
"14,2 tỷ",63 m²,"225,4 tr/m²","Đông Anh, Hà Nội",4,4
"7,8 tỷ",55 m²,"141,82 tr/m²","Quận 2, Hồ Chí Minh",1,1
23 tỷ,"86,2 m²","266,82 tr/m²","Quận 10, Hồ Chí Minh",11,5
"6,3 tỷ",79 m²,"79,75 tr/m²","Tây Hồ, Hà Nội",2,2
Giá thỏa thuận,84 m²,,"Bắc Từ Liêm, Hà Nội",3,2
"7,9 tỷ",120 m²,"65,83 tr/m²","Cam Ranh, Khánh Hòa",3,4
"12,8 tỷ",45 m²,"284,44 tr/m²","Ba Đình, Hà Nội",10,
"1,88 tỷ",168 m²,"11,2 tr/m²","Mỹ Đức, Hà Nội",,
"9,3 tỷ",110 m²,"84,54 tr/m²","Quận 10, Hồ Chí Minh",3,2
"1,89 tỷ",168 m²,"11,25 tr/m²","Yên Thủy, Hòa Bình",,
Giá thỏa thuận,62 m²,,"Hoài Đức, Hà Nội",,
Giá thỏa thuận,"42,5 m²",,"Gia Lâm, Hà Nội",1,
Giá thỏa thuận,75 m²,,"Nam Từ Liêm, Hà Nội",2,2
"7,5 tỷ",119 m²,"63,02 tr/m²","Tây Hồ, Hà Nội",3,2
"6,5 tỷ",46 m²,"141,3 tr/m²","Quận 11, Hồ Chí Minh",2,2
Giá thỏa thuận,70 m²,,"Quận 2, Hồ Chí Minh",2,2
"5,9 tỷ",80 m²,"73,75 tr/m²","Nam Từ Liêm, Hà Nội",2,2
24 tỷ,150 m²,160 tr/m²,"Gia Lâm, Hà Nội",,
"4,7 tỷ",73 m²,"64,38 tr/m²","Quận 7, Hồ Chí Minh",2,2
"1,72 tỷ","56,25 m²","30,58 tr/m²","Dĩ An, Bình Dương",2,1
"2,35 tỷ",63 m²,"37,3 tr/m²","Bình Tân, Hồ Chí Minh",2,2
24 tỷ,90 m²,"266,67 tr/m²","Hà Đông, Hà Nội",6,6
"2,3 tỷ",44 m²,"52,27 tr/m²","Gia Lâm, Hà Nội",1,1
"6,35 tỷ",120 m²,"52,92 tr/m²","Cam Ranh, Khánh Hòa",3,4
"2,8 tỷ",43 m²,"65,12 tr/m²","Gia Lâm, Hà Nội",2,1
"2,8 tỷ",100 m²,28 tr/m²,"Nha Trang, Khánh Hòa",,
25 tỷ,200 m²,125 tr/m²,"Quận 9, Hồ Chí Minh",4,4
32 tỷ,95 m²,"336,84 tr/m²","Quận 2, Hồ Chí Minh",4,4
"1,6 tỷ",40 m²,40 tr/m²,"Thanh Hóa, Thanh Hóa",1,1
"8,1 tỷ","62,5 m²","129,6 tr/m²","Văn Giang, Hưng Yên",,
18 tỷ,130 m²,"138,46 tr/m²","Ba Đình, Hà Nội",3,2
24 tỷ,146 m²,"164,38 tr/m²","Ba Đình, Hà Nội",4,3
Giá thỏa thuận,144 m²,,"Hà Đông, Hà Nội",,
Giá thỏa thuận,500 m²,,"Quốc Oai, Hà Nội",,
"3,25 tỷ","54,5 m²","59,63 tr/m²","Gia Lâm, Hà Nội",2,1
"4,2 tỷ",79 m²,"53,16 tr/m²","Văn Giang, Hưng Yên",3,2
59 tỷ,140 m²,"421,43 tr/m²","Cầu Giấy, Hà Nội",,
"5,05 tỷ",34 m²,"148,53 tr/m²","Hoài Đức, Hà Nội",4,4
"1,67 tỷ",52 m²,"32,12 tr/m²","Quận 8, Hồ Chí Minh",2,1
"3,35 tỷ",55 m²,"60,91 tr/m²","Nam Từ Liêm, Hà Nội",2,1
"3,02 tỷ",84 m²,36 tr/m²,"Bình Chánh, Hồ Chí Minh",2,2
"2,2 tỷ",44 m²,50 tr/m²,"Quận 2, Hồ Chí Minh",1,1
"2,46 tỷ",50 m²,"49,2 tr/m²","Hoài Đức, Hà Nội",2,2
9 tỷ,93 m²,"96,77 tr/m²","Thanh Xuân, Hà Nội",3,3
"12,5 tỷ",230 m²,"54,35 tr/m²","Thạch Thất, Hà Nội",4,4
"2,84 tỷ",135 m²,21 tr/m²,"Phổ Yên, Thái Nguyên",,
"9,5 tỷ",50 m²,190 tr/m²,"Bình Thạnh, Hồ Chí Minh",6,5
"8,6 tỷ",70 m²,"122,86 tr/m²","Văn Giang, Hưng Yên",5,5
Giá thỏa thuận,70 m²,,"Hoài Đức, Hà Nội",,
"15,9 tỷ",70 m²,"227,14 tr/m²","Quận 2, Hồ Chí Minh",2,2
Giá thỏa thuận,278 m²,,"Kim Bảng, Hà Nam",,
32 tỷ,95 m²,"336,84 tr/m²","Quận 2, Hồ Chí Minh",5,4
"2,35 tỷ",43 m²,"54,65 tr/m²","Gia Lâm, Hà Nội",1,1
"8,5 tỷ",43 m²,"197,67 tr/m²","Đống Đa, Hà Nội",,
"3,8 tỷ",78 m²,"48,72 tr/m²","Bình Chánh, Hồ Chí Minh",2,2
"2,3 tỷ",100 m²,23 tr/m²,"Phổ Yên, Thái Nguyên",,
3 tỷ,69 m²,"43,48 tr/m²","Hoài Đức, Hà Nội",2,2
Giá thỏa thuận,59 m²,,"Quận 9, Hồ Chí Minh",2,2
"10,6 tỷ",86 m²,"123,26 tr/m²","Quận 2, Hồ Chí Minh",2,2
"16,26 tỷ",189 m²,"86,01 tr/m²","Thủy Nguyên, Hải Phòng",5,5
"14,8 tỷ",30 m²,"493,33 tr/m²","Đống Đa, Hà Nội",3,3
2 tỷ,31 m²,"64,52 tr/m²","Quận 2, Hồ Chí Minh",,1
Giá thỏa thuận,100 m²,,"Hoài Đức, Hà Nội",,
"1,4 tỷ",189 m²,"7,41 tr/m²","Củ Chi, Hồ Chí Minh",,
"12,9 tỷ",84 m²,"153,57 tr/m²","Quận 9, Hồ Chí Minh",5,4
47 tỷ,"137,67 m²","341,4 tr/m²","Quận 2, Hồ Chí Minh",3,2
"1,68 tỷ",53 m²,"31,7 tr/m²","Thủ Dầu Một, Bình Dương",1,1
"3,7 tỷ","76,52 m²","48,35 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
Giá thỏa thuận,701 m²,,"Phú Giáo, Bình Dương",,
"4,4 tỷ",92 m²,"47,83 tr/m²","Hà Đông, Hà Nội",3,2
Giá thỏa thuận,65 m²,,"Đông Anh, Hà Nội",2,2
24 tỷ,76 m²,"315,79 tr/m²","Cầu Giấy, Hà Nội",6,4
"1,68 tỷ",53 m²,"31,7 tr/m²","Thủ Dầu Một, Bình Dương",1,1
"18,72 tỷ",240 m²,78 tr/m²,"Quận 9, Hồ Chí Minh",,
"2,19 tỷ","56,06 m²",39 tr/m²,"Hồng Bàng, Hải Phòng",2,2
"11,9 tỷ",52 m²,"228,85 tr/m²","Đống Đa, Hà Nội",10,10
"4,67 tỷ","97,3 m²",48 tr/m²,"Gia Lâm, Hà Nội",,
Giá thỏa thuận,50 m²,,"Hoài Đức, Hà Nội",,
"8,5 tỷ",145 m²,"58,62 tr/m²","Tây Hồ, Hà Nội",3,2
Giá thỏa thuận,100 m²,,"Phổ Yên, Thái Nguyên",,
12 tỷ,70 m²,"171,43 tr/m²","Đống Đa, Hà Nội",10,
"4,25 tỷ",140 m²,"30,36 tr/m²","Liên Chiểu, Đà Nẵng",,
"11,9 tỷ",52 m²,"228,85 tr/m²","Đống Đa, Hà Nội",10,10
Giá thỏa thuận,61 m²,,"Hồng Bàng, Hải Phòng",2,2
10 tỷ,100 m²,100 tr/m²,"Cầu Giấy, Hà Nội",3,2
33 tỷ,120 m²,275 tr/m²,"Hoàng Mai, Hà Nội",6,4
"2,3 tỷ",84 m²,"27,38 tr/m²","Quốc Oai, Hà Nội",,
"19,14 tỷ",330 m²,58 tr/m²,"Quận 9, Hồ Chí Minh",,
"6,7 tỷ",50 m²,134 tr/m²,"Liên Chiểu, Đà Nẵng",3,3
4 tỷ,500 m²,8 tr/m²,"Vũng Tàu, Bà Rịa Vũng Tàu",,
8 tỷ,141 m²,"56,74 tr/m²","Cầu Giấy, Hà Nội",3,2
"6,42 tỷ",60 m²,107 tr/m²,"Đông Anh, Hà Nội",,
28 tỷ,75 m²,"373,33 tr/m²","Thanh Xuân, Hà Nội",,
Giá thỏa thuận,180 m²,,"Quốc Oai, Hà Nội",,
"2,98 tỷ",60 m²,"49,67 tr/m²","Thuận An, Bình Dương",3,3
"16,4 tỷ",84 m²,"195,24 tr/m²","Quận 2, Hồ Chí Minh",2,2
"27,43 tỷ",5.486 m²,5 tr/m²,"Hòa Vang, Đà Nẵng",,
"11,8 tỷ",38 m²,"310,53 tr/m²","Cầu Giấy, Hà Nội",4,4
"5,3 tỷ",58 m²,"91,38 tr/m²","Quận 3, Hồ Chí Minh",2,1
5 tỷ,"96,5 m²","51,81 tr/m²","Long Biên, Hà Nội",2,2
7 tỷ,98 m²,"71,43 tr/m²","Tây Hồ, Hà Nội",3,2
"3,23 tỷ",69 m²,"46,81 tr/m²","Quận 9, Hồ Chí Minh",2,2
35 tỷ,181 m²,"193,37 tr/m²","Quận 2, Hồ Chí Minh",4,3
Giá thỏa thuận,100 m²,,"Hoài Đức, Hà Nội",,
26 tỷ,"250,4 m²","103,83 tr/m²","Gò Vấp, Hồ Chí Minh",,
"10,9 tỷ",60 m²,"181,67 tr/m²","Gò Vấp, Hồ Chí Minh",4,5
Giá thỏa thuận,87 m²,,"Đống Đa, Hà Nội",,
"8,92 tỷ",107 m²,"83,36 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"5,95 tỷ",36 m²,"165,28 tr/m²","Gò Vấp, Hồ Chí Minh",4,4
"6,8 tỷ",92 m²,"73,91 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"19,5 tỷ",91 m²,"214,29 tr/m²","Bình Thạnh, Hồ Chí Minh",7,8
"6,8 tỷ",117 m²,"58,12 tr/m²","Cầu Giấy, Hà Nội",3,2
14 tỷ,160 m²,"87,5 tr/m²","Tây Hồ, Hà Nội",3,2
11 tỷ,81 m²,"135,8 tr/m²","Thường Tín, Hà Nội",,
11 tỷ,81 m²,"135,8 tr/m²","Thường Tín, Hà Nội",,
"1,27 tỷ",49 m²,26 tr/m²,"Bến Lức, Long An",2,1
"6,3 tỷ",81 m²,"77,78 tr/m²","Quận 2, Hồ Chí Minh",2,2
"5,8 tỷ",60 m²,"96,67 tr/m²","Bình Tân, Hồ Chí Minh",4,5
10 tỷ,103 m²,"97,09 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
25 tỷ,121 m²,"206,61 tr/m²","Gia Lâm, Hà Nội",,
27 tỷ,80 m²,"337,5 tr/m²","Ba Đình, Hà Nội",5,7
"19,5 tỷ",80 m²,"243,75 tr/m²","Ba Đình, Hà Nội",7,4
Giá thỏa thuận,137 m²,,"Đống Đa, Hà Nội",3,2
"13,9 tỷ",56 m²,"248,21 tr/m²","Cầu Giấy, Hà Nội",8,
"3,44 tỷ",67 m²,"51,33 tr/m²","Quận 9, Hồ Chí Minh",2,2
Giá thỏa thuận,200 m²,,"Tây Hồ, Hà Nội",,
"8,75 tỷ",250 m²,35 tr/m²,"Cẩm Lệ, Đà Nẵng",,
"4,1 tỷ",100 m²,41 tr/m²,"Cẩm Lệ, Đà Nẵng",,
"2,39 tỷ",30 m²,"79,67 tr/m²","Hà Đông, Hà Nội",3,2
6 tỷ,68 m²,"88,24 tr/m²","Bình Tân, Hồ Chí Minh",5,5
Giá thỏa thuận,70 m²,,"Sơn Trà, Đà Nẵng",2,2
Giá thỏa thuận,120 m²,,"Nam Từ Liêm, Hà Nội",5,6
"6,9 tỷ",18.000 m²,"383,33 nghìn/m²","Di Linh, Lâm Đồng",,
4 tỷ,100 m²,40 tr/m²,"Nha Trang, Khánh Hòa",,
"3,7 tỷ",34 m²,"108,82 tr/m²","Tân Bình, Hồ Chí Minh",4,3
25 tỷ,360 m²,"69,44 tr/m²","Nhơn Trạch, Đồng Nai",,
"7,15 tỷ",120 m²,"59,58 tr/m²","Từ Sơn, Bắc Ninh",4,4
50 tỷ,180 m²,"277,78 tr/m²","Hà Đông, Hà Nội",6,5
"12,8 tỷ",63 m²,"203,18 tr/m²","Tây Hồ, Hà Nội",8,
9 tỷ,120 m²,75 tr/m²,"Cam Ranh, Khánh Hòa",3,4
32 tỷ,75 m²,"426,67 tr/m²","Hoàng Mai, Hà Nội",4,5
"7,37 tỷ","88,2 m²","83,52 tr/m²","Sơn Trà, Đà Nẵng",3,3
"12,6 tỷ",40 m²,315 tr/m²,"Hai Bà Trưng, Hà Nội",5,4
"4,15 tỷ","48,8 m²",85 tr/m²,"Đông Anh, Hà Nội",,
"3,39 tỷ",65 m²,"52,15 tr/m²","Hoàng Mai, Hà Nội",2,1
"5,3 tỷ","79,8 m²","66,42 tr/m²","Hai Bà Trưng, Hà Nội",2,2
Giá thỏa thuận,70 m²,,"Cầu Giấy, Hà Nội",2,
"4,69 tỷ",90 m²,"52,16 tr/m²","Thuận An, Bình Dương",3,3
"8,4 tỷ",3.000 m²,"2,8 tr/m²","Phan Thiết, Bình Thuận",,
"2,48 tỷ",60 m²,"41,33 tr/m²","Đống Đa, Hà Nội",3,2
"26,6 tỷ",140 m²,190 tr/m²,"Gia Lâm, Hà Nội",,
"46,5 tỷ","127,2 m²","365,57 tr/m²","Đông Anh, Hà Nội",5,5
"15,1 tỷ",63 m²,"239,68 tr/m²","Đông Anh, Hà Nội",4,4
"1,44 tỷ",180 m²,8 tr/m²,"Phổ Yên, Thái Nguyên",,
40 tỷ,450 m²,"88,89 tr/m²","Quận 9, Hồ Chí Minh",5,5
"17,5 tỷ",77 m²,"227,27 tr/m²","Quận 2, Hồ Chí Minh",2,2
Giá thỏa thuận,100 m²,,"Hoài Đức, Hà Nội",,
"9,1 tỷ","83,61 m²","108,84 tr/m²","Hải Châu, Đà Nẵng",2,2
"6,5 tỷ",90 m²,"72,22 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
Giá thỏa thuận,100 m²,,"Phổ Yên, Thái Nguyên",,
"7,3 tỷ",43 m²,"169,77 tr/m²","Đống Đa, Hà Nội",5,
7 tỷ,"112,9 m²",62 tr/m²,"Quận 7, Hồ Chí Minh",3,2
"8,67 tỷ",115 m²,"75,36 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"8,4 tỷ",93 m²,"90,32 tr/m²","Cầu Giấy, Hà Nội",2,2
"1,85 tỷ",168 m²,11 tr/m²,"Yên Thủy, Hòa Bình",,
5 tỷ,100 m²,50 tr/m²,"Thuận Thành, Bắc Ninh",,
35 tỷ,120 m²,"291,67 tr/m²","Quận 7, Hồ Chí Minh",11,
"2,5 tỷ","46,5 m²","53,76 tr/m²","Quận 9, Hồ Chí Minh",1,1
Giá thỏa thuận,100 m²,,"Hoài Đức, Hà Nội",,
"3,57 tỷ","69,1 m²","51,64 tr/m²","Quận 9, Hồ Chí Minh",2,2
"22,9 tỷ","123,8 m²",185 tr/m²,"Hoài Đức, Hà Nội",4,4
34 tỷ,95 m²,"357,9 tr/m²","Quận 2, Hồ Chí Minh",5,5
"3,4 tỷ",68 m²,50 tr/m²,"Đông Anh, Hà Nội",2,2
"14,45 tỷ",63 m²,"229,36 tr/m²","Đông Anh, Hà Nội",5,4
"6,3 tỷ",90 m²,70 tr/m²,"Bình Thạnh, Hồ Chí Minh",2,2
"1,93 tỷ",52 m²,"37,12 tr/m²","Quận 9, Hồ Chí Minh",1,1
"6,9 tỷ",128 m²,"53,91 tr/m²","Hoài Đức, Hà Nội",3,2
"1,3 tỷ",50 m²,26 tr/m²,"Bến Lức, Long An",2,2
"16,4 tỷ",300 m²,"54,67 tr/m²","Mê Linh, Hà Nội",6,5
Giá thỏa thuận,900 m²,,"Lương Sơn, Hòa Bình",,
Giá thỏa thuận,80 m²,,"Thanh Hóa, Thanh Hóa",7,6
45 tỷ,210 m²,"214,29 tr/m²","Văn Giang, Hưng Yên",,
"3,3 tỷ",67 m²,"49,25 tr/m²","Quận 9, Hồ Chí Minh",2,2
"3,09 tỷ",55 m²,"56,18 tr/m²","Gia Lâm, Hà Nội",2,1
"19,5 tỷ",144 m²,"135,42 tr/m²","Quận 9, Hồ Chí Minh",5,5
Giá thỏa thuận,115 m²,,"Bắc Từ Liêm, Hà Nội",3,2
"5,9 tỷ",50 m²,118 tr/m²,"Bình Tân, Hồ Chí Minh",4,5
55 tỷ,210 m²,"261,9 tr/m²","Văn Giang, Hưng Yên",,
"8,5 tỷ","121,75 m²","69,82 tr/m²","Văn Giang, Hưng Yên",,
"4,5 tỷ",90 m²,50 tr/m²,"Nha Trang, Khánh Hòa",,
"19,6 tỷ",100 m²,196 tr/m²,"Long Biên, Hà Nội",7,8
"2,49 tỷ","71,82 m²","34,67 tr/m²","Thuận An, Bình Dương",2,2
"11,8 tỷ",56 m²,"210,71 tr/m²","Hoàng Mai, Hà Nội",15,
31 tỷ,500 m²,62 tr/m²,"Bến Lức, Long An",,
"6,5 tỷ",469 m²,"13,86 tr/m²","Cầu Giấy, Hà Nội",,
"2,3 tỷ",110 m²,"20,91 tr/m²","Thạch Thất, Hà Nội",,
Giá thỏa thuận,"92,5 m²",,"Thường Tín, Hà Nội",5,5
68 tỷ,320 m²,"212,5 tr/m²","Quận 9, Hồ Chí Minh",,
"12,8 tỷ","96,4 m²","132,78 tr/m²","Quận 2, Hồ Chí Minh",3,2
"4,9 tỷ","68,78 m²","71,24 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"4,2 tỷ","569,8 m²","7,37 tr/m²","Tam Điệp, Ninh Bình",,
"26,5 tỷ",68 m²,"389,71 tr/m²","Cầu Giấy, Hà Nội",6,4
"1,2 tỷ",100 m²,12 tr/m²,"Sầm Sơn, Thanh Hóa",,
"12,9 tỷ",60 m²,215 tr/m²,"Tân Bình, Hồ Chí Minh",7,7
"1,78 tỷ",52 m²,"34,23 tr/m²","Thuận An, Bình Dương",1,1
"4,15 tỷ",92 m²,"45,11 tr/m²","Hiệp Hòa, Bắc Giang",,
"3,7 tỷ",64 m²,"57,81 tr/m²","Nam Từ Liêm, Hà Nội",2,2
63 tỷ,180 m²,350 tr/m²,"Tây Hồ, Hà Nội",4,4
"2,5 tỷ",72 m²,"34,72 tr/m²","Thuận An, Bình Dương",2,2
"110,16 tỷ",324 m²,340 tr/m²,"Tây Hồ, Hà Nội",6,5
"4,7 tỷ","53,8 m²","87,36 tr/m²","Thủ Đức, Hồ Chí Minh",3,3
"1,42 tỷ",54 m²,"26,3 tr/m²","Thuận An, Bình Dương",2,1
"20,5 tỷ",88 m²,"232,96 tr/m²","Gia Lâm, Hà Nội",4,
Giá thỏa thuận,1.000 m²,,"Phan Thiết, Bình Thuận",,
"5,4 tỷ",52 m²,"103,85 tr/m²","Thủ Đức, Hồ Chí Minh",4,3
Giá thỏa thuận,550 m²,,"Củ Chi, Hồ Chí Minh",,
Giá thỏa thuận,"164,1 m²",,"Bình Tân, Hồ Chí Minh",,
"3,9 tỷ",64 m²,"60,94 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"2,93 tỷ","54,8 m²","53,47 tr/m²","Nam Từ Liêm, Hà Nội",2,1
"3,18 tỷ",75 m²,"42,4 tr/m²","Bình Tân, Hồ Chí Minh",2,2
"2,4 tỷ",63 m²,"38,1 tr/m²","Quận 9, Hồ Chí Minh",2,1
"20,75 tỷ","107,5 m²",193 tr/m²,"Hoàng Mai, Hà Nội",,
32 tỷ,392 m²,"81,63 tr/m²","Tân Bình, Hồ Chí Minh",,2
16 tỷ,"62,5 m²",256 tr/m²,"Đông Anh, Hà Nội",,
"1,5 tỷ",348 m²,"4,31 tr/m²","Củ Chi, Hồ Chí Minh",,
12 tỷ,67 m²,"179,1 tr/m²","Bình Thạnh, Hồ Chí Minh",4,5
Giá thỏa thuận,42 m²,,"Nam Từ Liêm, Hà Nội",1,1
"7,06 tỷ",126 m²,56 tr/m²,"Quận 9, Hồ Chí Minh",,
"5,95 tỷ",33 m²,"180,3 tr/m²","Hoàng Mai, Hà Nội",4,3
"2,68 tỷ","54,9 m²","48,82 tr/m²","Quận 9, Hồ Chí Minh",1,1
"5,5 tỷ",136 m²,"40,44 tr/m²","Thủ Đức, Hồ Chí Minh",,
